이름,팀,월,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루율,장타율,OPS
문성주,22L,4,75,60,10,26,7,1,0,35,6,3,2,11,0,0,9,3,3,1,0.433,0.514,0.583,1.097
한동희,22롯,4,101,89,16,38,9,0,7,68,22,0,0,10,1,1,8,3,0,1,0.427,0.485,0.764,1.249
한유섬,22S,4,103,86,17,34,13,1,3,58,27,0,0,12,4,2,17,0,0,1,0.395,0.485,0.674,1.16
피렐라,22삼,4,109,100,17,39,8,1,2,55,15,3,0,6,3,1,13,2,0,0,0.39,0.44,0.55,0.99
이대호,22롯,4,100,90,13,32,2,0,2,40,10,0,0,7,1,2,9,4,0,2,0.356,0.4,0.444,0.844
박건우,22N,4,107,94,11,33,5,0,1,41,16,0,3,9,2,0,13,2,0,2,0.351,0.411,0.436,0.847
최정,22S,4,78,67,12,23,4,0,2,33,11,1,0,8,2,0,13,0,0,1,0.343,0.423,0.493,0.916
류지혁,22기,4,66,62,8,21,2,0,1,26,10,0,0,4,0,0,13,0,0,0,0.339,0.379,0.419,0.798
김선빈,22기,4,99,87,11,29,7,0,1,39,10,2,1,11,0,0,7,4,1,0,0.333,0.408,0.448,0.856
나성범,22기,4,106,91,11,30,9,1,2,47,11,0,0,12,3,0,23,2,0,0,0.33,0.425,0.516,0.941
심우준,22K,4,75,61,11,20,0,0,0,20,5,5,1,10,1,0,11,0,3,0,0.328,0.431,0.328,0.758
전준우,22롯,4,84,77,12,25,3,0,1,31,11,1,2,4,1,1,9,3,0,2,0.325,0.357,0.403,0.76
이정후,22키,4,106,96,11,31,7,0,4,50,20,1,0,8,1,2,3,2,0,1,0.323,0.377,0.521,0.898
김인태,22두,4,107,90,12,29,2,0,1,34,12,1,0,15,2,1,13,1,0,0,0.322,0.43,0.378,0.808
허경민,22두,4,91,80,9,25,6,0,0,31,7,2,0,7,2,0,7,1,1,1,0.313,0.378,0.388,0.765
안치홍,22롯,4,100,94,15,29,8,2,1,44,8,1,1,5,0,0,8,2,0,1,0.309,0.34,0.468,0.808
터크먼,22한,4,108,98,12,30,7,0,1,40,4,8,0,9,0,0,20,2,0,1,0.306,0.361,0.408,0.769
노시환,22한,4,102,85,12,26,5,0,2,37,16,1,2,16,0,0,20,1,0,1,0.306,0.412,0.435,0.847
홍창기,22L,4,84,72,12,22,4,1,0,28,7,2,1,7,3,0,8,3,1,1,0.306,0.386,0.389,0.774
최지훈,22S,4,111,97,18,29,6,0,1,38,7,5,0,9,4,0,20,2,1,0,0.299,0.382,0.392,0.774
김현수,22L,4,105,91,16,27,5,0,5,47,16,0,1,11,3,3,12,1,0,0,0.297,0.391,0.516,0.907
페르난데스,22두,4,103,95,6,28,5,0,0,33,10,0,0,7,0,0,12,9,0,1,0.295,0.34,0.347,0.687
박성한,22S,4,93,85,10,25,3,2,2,38,12,1,1,7,0,0,19,0,1,0,0.294,0.348,0.447,0.795
오윤석,22K,4,75,65,8,19,5,0,1,27,11,1,1,7,2,0,20,2,0,1,0.292,0.373,0.415,0.789
손아섭,22N,4,113,100,10,29,6,0,0,35,5,1,1,10,1,1,17,0,0,2,0.29,0.354,0.35,0.704
황재균,22K,4,111,98,11,28,5,1,2,41,11,3,1,11,1,1,18,1,1,0,0.286,0.364,0.418,0.782
김혜성,22키,4,112,107,13,30,3,1,0,35,10,8,1,5,0,0,22,3,0,0,0.28,0.313,0.327,0.64
유강남,22L,4,94,86,7,24,3,0,1,30,12,0,0,6,1,0,24,1,1,0,0.279,0.333,0.349,0.682
김강민,22S,4,62,54,5,15,2,0,0,17,4,1,2,6,1,0,10,1,0,1,0.278,0.355,0.315,0.67
김민혁,22K,4,91,83,12,23,3,0,0,26,8,2,1,7,0,0,13,1,0,1,0.277,0.33,0.313,0.643
박동원,22기,4,60,51,5,14,5,0,2,25,7,0,0,9,0,1,12,0,0,0,0.275,0.383,0.49,0.874
문보경,22L,4,75,69,8,18,1,0,2,25,10,0,0,4,1,0,14,2,0,1,0.261,0.307,0.362,0.669
황대인,22기,4,99,89,4,23,4,0,1,30,13,0,0,5,4,0,18,4,0,1,0.258,0.323,0.337,0.66
크론,22S,4,104,98,8,25,6,0,4,43,17,0,0,3,1,0,24,0,0,2,0.255,0.279,0.439,0.718
김지찬,22삼,4,86,71,14,18,0,2,0,22,3,6,0,11,0,0,14,0,4,0,0.254,0.354,0.31,0.664
라모스,22K,4,80,72,10,18,1,1,3,30,11,2,0,4,2,0,18,2,1,1,0.25,0.304,0.417,0.721
박병호,22K,4,90,80,10,20,2,0,5,37,13,2,0,5,5,0,32,2,0,0,0.25,0.333,0.463,0.796
마티니,22N,4,105,89,11,22,5,1,3,38,15,0,0,14,1,1,22,1,0,1,0.247,0.352,0.427,0.779
노수광,22한,4,72,65,2,16,3,1,0,21,7,7,2,3,0,0,26,0,3,1,0.246,0.275,0.323,0.598
안재석,22두,4,69,61,5,15,1,0,0,16,2,3,0,5,2,0,20,2,1,0,0.246,0.324,0.262,0.586
이학주,22롯,4,71,61,7,15,2,0,0,17,3,0,1,5,1,0,14,0,4,0,0.246,0.313,0.279,0.592
최형우,22기,4,96,74,4,18,5,0,0,23,8,0,0,20,1,1,13,2,0,1,0.243,0.406,0.311,0.717
박찬혁,22키,4,87,79,11,19,3,0,5,37,9,0,1,6,2,0,38,0,0,0,0.241,0.31,0.468,0.779
정훈,22롯,4,104,84,13,20,0,0,1,23,8,1,1,17,0,0,14,2,2,1,0.238,0.363,0.274,0.637
이성곤,22한,4,72,60,4,14,3,0,0,17,4,1,1,12,0,0,19,0,0,0,0.233,0.361,0.283,0.644
푸이그,22키,4,103,90,12,21,4,0,3,34,11,3,0,10,3,1,18,2,0,0,0.233,0.33,0.378,0.708
김재환,22두,4,104,96,10,22,8,0,3,39,13,0,0,7,1,0,24,0,0,0,0.229,0.289,0.406,0.695
구자욱,22삼,4,76,70,9,16,3,1,0,21,5,1,1,3,3,0,16,3,0,0,0.229,0.29,0.3,0.59
정수빈,22두,4,78,70,9,16,1,2,0,21,9,7,2,5,0,0,11,0,2,1,0.229,0.276,0.3,0.576
조용호,22K,4,71,66,5,15,1,0,0,16,0,0,1,5,0,0,11,1,0,0,0.227,0.282,0.242,0.524
소크라테스,22기,4,103,97,12,22,7,2,1,36,9,1,1,6,0,0,26,3,0,0,0.227,0.272,0.371,0.643
하주석,22한,4,102,93,9,21,2,0,0,23,9,6,2,8,1,0,29,0,0,0,0.226,0.294,0.247,0.541
강진성,22두,4,60,49,5,11,2,0,1,16,7,3,0,9,2,1,13,1,0,0,0.224,0.367,0.327,0.693
이재현,22삼,4,70,67,9,15,2,0,1,20,5,0,0,1,1,0,18,1,1,0,0.224,0.246,0.299,0.545
김주형,22키,4,91,77,10,17,5,1,1,27,4,1,0,2,11,0,22,1,0,1,0.221,0.33,0.351,0.68
이용규,22키,4,110,91,14,20,3,0,0,23,8,4,2,16,0,0,9,0,1,2,0.22,0.33,0.253,0.583
배정대,22K,4,79,73,4,16,2,0,0,18,4,2,1,4,1,0,14,0,1,0,0.219,0.269,0.247,0.516
장성우,22K,4,86,73,8,16,4,0,4,32,10,0,0,12,1,0,15,3,0,0,0.219,0.337,0.438,0.776
오재일,22삼,4,85,73,7,16,7,0,2,29,13,0,0,11,0,1,18,1,0,1,0.219,0.318,0.397,0.715
오지환,22L,4,97,92,11,20,3,1,3,34,11,3,0,4,0,0,17,2,1,0,0.217,0.25,0.37,0.62
정은원,22한,4,98,89,12,19,3,1,2,30,6,3,0,9,0,0,17,1,0,0,0.213,0.286,0.337,0.623
전병우,22키,4,91,75,5,16,4,0,1,23,3,0,0,9,3,0,19,1,3,1,0.213,0.318,0.307,0.625
서호철,22N,4,64,61,6,13,3,0,0,16,4,1,1,2,0,0,14,3,1,0,0.213,0.238,0.262,0.5
오영수,22N,4,80,72,4,15,4,0,0,19,6,0,1,7,0,0,21,0,0,1,0.208,0.275,0.264,0.539
노진혁,22N,4,77,68,7,14,3,0,1,20,7,0,0,8,0,0,19,4,0,1,0.206,0.286,0.294,0.58
서건창,22L,4,81,75,10,15,4,0,1,22,7,3,1,4,0,0,15,2,1,1,0.2,0.238,0.293,0.531
박준영,22N,4,94,80,9,16,3,0,2,25,8,2,1,12,0,0,20,1,2,0,0.2,0.304,0.313,0.617
김태연,22한,4,97,86,8,17,1,0,1,21,12,0,0,9,1,0,25,2,0,1,0.198,0.278,0.244,0.523
강민호,22삼,4,88,76,7,15,0,0,1,18,12,0,0,9,1,1,10,5,0,2,0.197,0.284,0.237,0.521
추신수,22S,4,79,61,12,12,3,0,1,18,4,2,3,14,4,0,15,0,0,0,0.197,0.38,0.295,0.675
피터스,22롯,4,103,94,6,18,6,0,3,33,11,1,0,8,1,0,30,1,0,0,0.191,0.262,0.351,0.613
박해민,22L,4,110,93,12,17,1,1,0,20,4,5,2,13,2,0,25,0,2,0,0.183,0.296,0.215,0.511
김성현,22S,4,60,50,5,9,1,1,0,12,6,0,0,6,0,0,6,3,3,1,0.18,0.263,0.24,0.503
김도영,22기,4,88,84,11,15,3,1,0,20,4,1,0,2,1,0,24,0,1,0,0.179,0.207,0.238,0.445
김상수,22삼,4,66,57,6,10,3,0,1,16,10,1,0,9,0,0,10,1,0,0,0.175,0.288,0.281,0.569
최재훈,22한,4,97,75,9,13,2,0,0,15,1,0,0,16,6,0,17,4,0,0,0.173,0.361,0.2,0.561
김석환,22기,4,61,52,10,9,1,0,1,13,3,0,0,7,2,0,12,1,0,0,0.173,0.295,0.25,0.545
루이즈,22L,4,85,76,8,13,4,1,1,22,5,1,0,8,0,0,12,4,0,1,0.171,0.247,0.289,0.537
송성문,22키,4,102,97,6,15,6,1,2,29,10,0,0,4,0,0,17,1,0,1,0.155,0.186,0.299,0.485
양의지,22N,4,75,60,4,9,2,0,2,17,8,1,0,10,5,0,11,2,0,0,0.15,0.32,0.283,0.603
최주환,22S,4,85,75,7,11,2,1,1,18,14,0,0,7,2,1,13,2,0,1,0.147,0.235,0.24,0.475
김헌곤,22삼,4,60,55,5,8,2,0,0,10,3,1,0,4,0,0,6,3,0,1,0.145,0.2,0.182,0.382
박세혁,22두,4,65,60,7,8,2,0,0,10,2,0,1,2,2,0,11,1,1,0,0.133,0.188,0.167,0.354
소크라테스,22기,5,114,106,20,44,9,3,5,74,28,4,2,6,1,3,10,2,0,1,0.415,0.447,0.698,1.146
피렐라,22삼,5,95,80,17,33,3,2,5,55,17,3,2,14,1,4,6,5,0,0,0.413,0.505,0.688,1.193
박성한,22S,5,98,82,16,30,2,0,0,32,9,2,4,16,0,0,8,2,0,0,0.366,0.469,0.39,0.86
이대호,22롯,5,98,93,8,33,4,0,4,49,13,0,0,5,0,0,11,2,0,0,0.355,0.388,0.527,0.915
김준태,22K,5,67,57,8,20,7,1,0,29,8,0,0,9,0,0,17,1,0,1,0.351,0.433,0.509,0.942
마티니,22N,5,109,99,12,34,8,0,5,57,16,1,0,8,1,1,14,4,0,1,0.343,0.395,0.576,0.97
손아섭,22N,5,114,102,13,35,10,0,1,48,8,2,1,10,1,0,13,0,0,1,0.343,0.404,0.471,0.874
조용호,22K,5,109,98,10,33,6,0,0,39,8,2,1,9,2,3,21,0,0,0,0.337,0.404,0.398,0.802
홍창기,22L,5,116,101,14,34,2,1,0,38,15,1,2,11,1,0,17,0,0,3,0.337,0.397,0.376,0.773
나성범,22기,5,120,99,23,33,4,0,6,55,26,3,0,14,5,1,22,2,0,2,0.333,0.433,0.556,0.989
채은성,22L,5,111,99,7,33,6,0,1,42,16,2,1,7,3,0,12,3,0,2,0.333,0.387,0.424,0.812
최지훈,22S,5,110,96,14,32,8,2,2,50,10,2,2,9,1,0,12,1,3,1,0.333,0.393,0.521,0.913
이정후,22키,5,104,91,15,30,6,2,2,46,11,1,0,12,0,4,3,3,0,1,0.33,0.404,0.505,0.909
페르난데스,22두,5,102,95,16,31,8,0,2,45,15,0,0,7,0,0,7,8,0,0,0.326,0.373,0.474,0.846
류지혁,22기,5,92,74,17,24,6,0,1,33,10,2,1,13,3,0,14,2,1,1,0.324,0.44,0.446,0.886
양의지,22N,5,87,71,11,23,4,0,4,39,17,0,0,11,3,3,11,5,0,2,0.324,0.425,0.549,0.975
박해민,22L,5,113,100,17,32,2,1,1,39,13,4,1,7,3,0,9,3,1,2,0.32,0.375,0.39,0.765
이재원,22L,5,76,66,12,21,2,2,5,42,15,1,1,6,4,1,21,1,0,0,0.318,0.408,0.636,1.044
전준우,22롯,5,75,70,15,22,5,0,1,30,6,2,1,5,0,0,11,1,0,0,0.314,0.36,0.429,0.789
허경민,22두,5,94,80,16,25,6,0,1,34,18,3,0,7,4,0,7,6,1,2,0.313,0.387,0.425,0.812
황대인,22기,5,100,93,11,29,4,0,7,54,31,0,0,3,2,0,18,4,0,2,0.312,0.34,0.581,0.921
오재일,22삼,5,100,90,14,28,7,0,9,62,22,0,0,8,0,2,28,1,0,2,0.311,0.36,0.689,1.049
송성문,22키,5,110,100,16,31,6,2,3,50,20,0,0,8,0,2,13,1,0,2,0.31,0.355,0.5,0.855
김현수,22L,5,108,97,18,30,9,0,5,54,20,0,0,11,0,1,9,2,0,0,0.309,0.38,0.557,0.936
김혜성,22키,5,112,97,18,30,4,3,2,46,18,9,2,13,0,0,14,1,0,2,0.309,0.384,0.474,0.858
오태곤,22S,5,89,81,14,25,7,0,1,35,11,4,1,4,3,0,19,1,0,1,0.309,0.36,0.432,0.792
김태진,22키,5,84,78,14,24,2,0,0,26,4,0,2,4,0,0,7,0,1,1,0.308,0.337,0.333,0.671
김지찬,22삼,5,100,88,13,27,4,2,0,35,11,11,0,10,0,0,9,0,2,0,0.307,0.378,0.398,0.775
박건우,22N,5,87,75,9,23,5,0,2,34,14,0,0,9,2,0,13,2,0,1,0.307,0.391,0.453,0.844
안치홍,22롯,5,104,89,14,27,3,0,8,54,17,1,1,12,1,1,8,1,1,1,0.303,0.388,0.607,0.995
안권수,22두,5,109,94,21,28,1,0,0,29,4,2,3,15,0,0,19,3,0,0,0.298,0.395,0.309,0.703
김선빈,22기,5,109,86,15,25,4,0,0,29,7,4,0,18,3,0,13,2,1,1,0.291,0.426,0.337,0.763
터크먼,22한,5,115,100,19,29,6,2,1,42,6,4,2,11,3,2,22,5,0,1,0.29,0.374,0.42,0.794
김인환,22한,5,90,83,11,24,4,0,5,43,14,0,0,6,0,0,24,1,0,1,0.289,0.333,0.518,0.851
오지환,22L,5,103,90,16,26,2,0,7,49,17,3,1,9,2,1,19,3,2,0,0.289,0.366,0.544,0.911
노시환,22한,5,110,95,16,27,5,1,1,37,14,1,0,13,2,0,22,4,0,0,0.284,0.382,0.389,0.771
이명기,22N,5,92,82,6,23,6,0,0,29,6,1,1,5,2,0,13,3,2,1,0.28,0.333,0.354,0.687
정은원,22한,5,111,95,16,26,4,0,2,36,13,1,0,14,0,0,29,2,1,1,0.274,0.364,0.379,0.743
박병호,22K,5,107,95,16,26,3,0,11,62,28,1,0,9,1,1,26,2,0,2,0.274,0.336,0.653,0.989
황재균,22K,5,91,81,8,22,5,0,1,30,13,0,1,9,0,1,16,4,0,1,0.272,0.341,0.37,0.711
강승호,22두,5,115,104,15,28,9,0,2,43,21,3,1,8,1,0,15,2,1,1,0.269,0.325,0.413,0.738
추신수,22S,5,111,86,19,23,1,0,4,36,13,2,0,20,4,1,18,1,0,1,0.267,0.423,0.419,0.842
한유섬,22S,5,100,86,11,23,6,0,3,38,18,0,0,12,2,4,23,1,0,0,0.267,0.37,0.442,0.812
장성우,22K,5,82,68,8,18,2,0,2,26,4,0,0,14,0,0,15,2,0,0,0.265,0.39,0.382,0.773
이지영,22키,5,84,76,10,20,3,1,0,25,8,0,0,7,0,0,8,3,1,0,0.263,0.325,0.329,0.654
박찬호,22기,5,109,96,15,25,7,0,0,32,8,4,2,10,0,0,9,5,1,2,0.26,0.324,0.333,0.657
김민혁,22K,5,92,77,9,20,0,1,0,22,10,1,1,10,0,0,14,1,4,1,0.26,0.341,0.286,0.627
정수빈,22두,5,90,81,13,21,3,0,0,24,7,3,1,7,0,0,16,0,2,0,0.259,0.318,0.296,0.615
박세혁,22두,5,90,74,4,19,4,0,0,23,17,0,0,10,0,0,11,1,3,3,0.257,0.333,0.311,0.644
노진혁,22N,5,76,67,8,17,3,0,3,29,11,0,0,9,0,0,22,2,0,0,0.254,0.342,0.433,0.775
크론,22S,5,111,104,13,26,6,1,7,55,18,0,0,3,2,0,31,3,0,2,0.25,0.279,0.529,0.808
이진영,22한,5,86,81,16,20,6,0,6,44,16,1,1,4,0,0,33,2,0,1,0.247,0.279,0.543,0.822
김헌곤,22삼,5,81,77,8,19,1,0,0,20,7,1,1,2,1,0,7,4,1,0,0.247,0.275,0.26,0.535
노수광,22한,5,75,65,9,16,3,4,1,30,10,1,2,9,0,1,18,0,1,0,0.246,0.338,0.462,0.799
피터스,22롯,5,107,94,11,23,5,0,7,49,23,4,2,5,4,1,17,2,0,4,0.245,0.299,0.521,0.82
박민우,22N,5,106,96,9,23,6,0,1,32,6,3,2,6,3,1,14,2,0,1,0.24,0.302,0.333,0.635
이재현,22삼,5,72,71,6,17,0,0,2,23,5,0,0,0,0,0,10,3,1,0,0.239,0.239,0.324,0.563
배정대,22K,5,104,88,13,21,4,0,1,28,4,6,0,13,1,0,21,0,1,1,0.239,0.34,0.318,0.658
하주석,22한,5,79,72,9,17,1,0,3,27,17,4,0,5,1,1,21,0,0,1,0.236,0.291,0.375,0.666
오윤석,22K,5,71,60,2,14,2,0,0,16,4,1,0,7,1,0,11,2,1,2,0.233,0.314,0.267,0.581
강민호,22삼,5,73,65,3,15,4,0,0,19,9,0,0,6,1,2,9,2,0,1,0.231,0.301,0.292,0.594
최재훈,22한,5,81,72,5,16,0,0,0,16,5,0,0,6,1,0,13,2,1,1,0.222,0.288,0.222,0.51
한동희,22롯,5,72,68,5,15,3,0,1,21,4,0,0,3,1,0,12,1,0,0,0.221,0.264,0.309,0.573
최형우,22기,5,99,82,13,17,3,0,2,26,11,0,0,17,0,3,20,2,0,0,0.207,0.343,0.317,0.661
최정,22S,5,103,87,15,18,2,0,4,32,13,2,0,13,1,0,23,3,0,2,0.207,0.311,0.368,0.679
김재환,22두,5,100,78,11,16,2,1,5,35,12,1,0,20,1,1,22,1,0,1,0.205,0.37,0.449,0.819
박동원,22기,5,97,83,13,17,3,0,4,32,7,0,0,6,5,0,19,2,2,1,0.205,0.295,0.386,0.68
푸이그,22키,5,114,98,14,20,7,0,3,36,15,2,0,12,3,0,27,0,0,1,0.204,0.307,0.367,0.674
이원석,22삼,5,103,87,7,17,3,0,1,23,13,0,0,9,0,1,26,5,2,5,0.195,0.257,0.264,0.522
심우준,22K,5,74,64,9,12,1,1,0,15,5,6,1,6,0,0,11,4,3,1,0.188,0.254,0.234,0.488
유강남,22L,5,86,70,16,13,4,0,1,20,8,0,0,14,1,0,13,2,0,1,0.186,0.326,0.286,0.611
이학주,22롯,5,78,72,6,13,3,1,0,18,4,2,0,3,0,0,16,2,3,0,0.181,0.213,0.25,0.463
문보경,22L,6,64,56,10,25,6,0,1,34,6,1,0,8,0,0,4,1,0,0,0.446,0.516,0.607,1.123
최정,22S,6,74,55,19,23,3,0,4,38,20,3,0,13,5,1,15,0,0,1,0.418,0.554,0.691,1.245
정은원,22한,6,97,79,9,31,4,1,1,40,13,1,0,16,0,0,11,4,0,2,0.392,0.485,0.506,0.991
이정후,22키,6,117,97,16,38,3,1,8,67,27,0,0,19,1,4,9,2,0,0,0.392,0.496,0.691,1.186
박해민,22L,6,97,84,18,30,5,1,1,40,10,6,0,9,0,0,6,0,3,1,0.357,0.415,0.476,0.891
안권수,22두,6,88,82,15,29,4,2,0,37,8,0,0,5,0,0,13,2,1,0,0.354,0.391,0.451,0.842
조용호,22K,6,72,60,8,21,2,2,1,30,6,0,2,12,0,0,10,0,0,0,0.35,0.458,0.5,0.958
김재성,22삼,6,60,52,3,18,2,0,1,23,9,0,0,5,0,0,11,2,1,2,0.346,0.39,0.442,0.832
소크라테스,22기,6,105,96,21,33,4,1,5,54,9,4,0,9,0,1,14,1,0,0,0.344,0.4,0.563,0.963
이대호,22롯,6,96,88,6,30,7,0,3,46,18,0,0,6,0,1,9,4,0,2,0.341,0.375,0.523,0.898
김현준,22삼,6,91,77,14,26,6,1,0,34,8,4,2,10,2,0,11,0,2,0,0.338,0.427,0.442,0.869
송성문,22키,6,108,102,13,34,3,0,2,43,15,0,0,6,0,0,8,2,0,0,0.333,0.37,0.422,0.792
전의산,22S,6,71,66,12,22,8,1,3,41,17,0,0,5,0,0,16,2,0,0,0.333,0.38,0.621,1.002
전준우,22롯,6,83,75,10,25,8,1,3,44,20,0,0,5,0,0,16,3,0,3,0.333,0.361,0.587,0.948
추신수,22S,6,101,86,15,27,7,0,1,37,13,3,0,13,2,0,22,3,0,0,0.314,0.416,0.43,0.846
손아섭,22N,6,91,83,10,26,5,2,3,44,11,0,1,6,0,0,11,0,0,2,0.313,0.352,0.53,0.882
터크먼,22한,6,103,96,16,30,4,1,2,42,6,2,4,7,0,0,13,0,0,0,0.313,0.359,0.438,0.797
페르난데스,22두,6,103,90,13,28,3,0,4,43,22,0,0,9,2,0,8,4,0,2,0.311,0.379,0.478,0.856
