이름,팀,월,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루율,장타율,OPS
안치홍,22롯,6,103,94,17,29,7,0,1,39,11,0,0,9,0,2,10,4,0,0,0.309,0.369,0.415,0.784
배정대,22K,6,97,85,8,26,5,0,1,34,10,1,1,10,0,0,23,0,1,1,0.306,0.375,0.4,0.775
박성한,22S,6,96,86,9,26,2,0,0,28,8,4,0,8,1,0,16,0,0,1,0.302,0.365,0.326,0.69
최지훈,22S,6,110,97,19,29,3,1,1,37,12,8,1,9,0,0,14,0,2,2,0.299,0.352,0.381,0.733
홍창기,22L,6,99,81,20,24,7,2,1,38,10,1,1,12,6,0,12,1,0,0,0.296,0.424,0.469,0.893
마티니,22N,6,81,71,5,21,6,0,2,33,13,2,1,6,2,1,13,0,0,2,0.296,0.358,0.465,0.823
김준태,22K,6,62,51,8,15,3,0,2,24,5,0,0,10,0,0,17,0,0,1,0.294,0.403,0.471,0.874
이호연,22롯,6,79,75,8,22,4,1,1,31,9,1,0,3,1,0,15,3,0,0,0.293,0.329,0.413,0.742
이해승,22삼,6,81,76,9,22,3,0,0,25,5,0,0,0,0,0,18,1,5,0,0.289,0.29,0.329,0.618
황성빈,22롯,6,90,77,16,22,1,1,0,25,4,3,1,9,1,0,12,0,3,0,0.286,0.368,0.325,0.693
박세혁,22두,6,73,60,6,17,5,1,0,24,7,0,0,9,2,0,9,0,1,1,0.283,0.389,0.4,0.789
오재일,22삼,6,101,85,7,24,3,0,1,30,9,2,0,15,0,1,23,0,0,1,0.282,0.386,0.353,0.739
김태연,22한,6,77,71,10,20,5,0,1,28,9,2,2,4,1,0,19,3,1,0,0.282,0.329,0.394,0.723
김재환,22두,6,93,79,15,22,6,0,4,40,14,0,0,14,0,2,20,1,0,0,0.278,0.387,0.506,0.893
박찬호,22기,6,105,94,11,26,4,0,1,33,16,7,3,8,0,0,12,0,1,2,0.277,0.327,0.351,0.678
김현수,22L,6,100,91,13,25,1,1,4,40,21,2,0,8,1,1,11,1,0,0,0.275,0.34,0.44,0.78
한동희,22롯,6,64,59,7,16,5,0,1,24,11,0,0,3,2,0,8,2,0,0,0.271,0.328,0.407,0.735
김혜성,22키,6,109,93,17,25,0,0,0,25,1,11,1,16,0,2,17,2,0,0,0.269,0.376,0.269,0.645
강민호,22삼,6,62,60,4,16,4,1,1,25,7,0,0,2,0,0,10,5,0,0,0.267,0.29,0.417,0.707
이창진,22기,6,101,87,9,23,4,0,2,33,16,1,0,10,0,0,16,1,2,2,0.264,0.333,0.379,0.713
김인환,22한,6,84,80,9,21,2,0,2,29,10,1,0,4,0,0,23,1,0,0,0.263,0.298,0.363,0.66
채은성,22L,6,92,80,10,21,2,1,3,34,17,0,1,5,5,0,15,0,0,2,0.263,0.337,0.425,0.762
권희동,22N,6,82,73,7,19,2,1,2,29,6,0,0,8,0,0,9,0,1,0,0.26,0.333,0.397,0.731
유강남,22L,6,73,66,10,17,3,0,0,20,3,0,0,4,2,1,16,2,1,0,0.258,0.319,0.303,0.623
오선진,22삼,6,99,86,8,22,2,0,2,30,12,1,1,7,0,0,20,2,6,0,0.256,0.312,0.349,0.661
문성주,22L,6,65,55,6,14,1,1,1,20,6,3,1,6,2,1,5,1,2,0,0.255,0.349,0.364,0.713
양의지,22N,6,88,79,12,20,5,0,3,34,11,0,0,8,0,1,6,2,0,1,0.253,0.318,0.43,0.749
김휘집,22키,6,94,80,10,20,1,0,1,24,7,0,0,9,3,0,30,1,1,1,0.25,0.344,0.3,0.644
박동원,22기,6,80,68,11,17,6,0,3,32,15,1,0,10,1,2,13,3,1,0,0.25,0.354,0.471,0.825
강백호,22K,6,91,80,13,20,6,0,3,35,10,0,0,9,1,2,14,0,0,1,0.25,0.33,0.438,0.767
나성범,22기,6,109,93,12,23,9,0,3,41,12,1,0,13,2,0,26,0,0,1,0.247,0.349,0.441,0.79
박병호,22K,6,96,89,18,22,6,0,10,58,22,0,0,6,1,0,28,1,0,0,0.247,0.302,0.652,0.954
양석환,22두,6,91,81,12,20,2,1,2,30,10,0,0,8,1,1,16,1,0,1,0.247,0.319,0.37,0.689
최재훈,22한,6,70,61,7,15,5,0,1,23,8,1,0,3,3,0,9,1,1,1,0.246,0.309,0.377,0.686
김민혁,22K,6,75,61,10,15,1,0,0,16,5,0,2,6,1,0,9,3,6,1,0.246,0.319,0.262,0.581
심우준,22K,6,81,74,12,18,3,1,1,26,4,0,0,5,0,0,16,3,1,1,0.243,0.288,0.351,0.639
김선빈,22기,6,105,91,7,22,2,0,1,27,8,0,0,9,2,0,6,1,2,0,0.242,0.324,0.297,0.62
오지환,22L,6,89,77,8,18,5,0,1,26,10,4,1,10,1,1,13,0,0,1,0.234,0.326,0.338,0.664
황재균,22K,6,98,87,10,20,4,0,2,30,10,1,0,10,0,0,13,4,1,0,0.23,0.309,0.345,0.654
오태곤,22S,6,62,57,4,13,1,0,0,14,2,3,1,4,0,1,16,1,1,0,0.228,0.279,0.246,0.524
이지영,22키,6,94,88,7,20,2,0,1,25,10,1,0,6,0,1,12,1,0,0,0.227,0.277,0.284,0.561
박민우,22N,6,90,81,8,18,6,0,0,24,6,3,0,8,0,1,11,1,1,0,0.222,0.292,0.296,0.588
최형우,22기,6,90,78,10,17,6,0,5,38,13,0,0,12,0,0,16,3,0,0,0.218,0.322,0.487,0.809
피렐라,22삼,6,111,97,13,21,3,0,5,39,16,1,0,11,3,3,14,4,0,0,0.216,0.315,0.402,0.717
박정현,22한,6,71,70,6,15,0,0,0,15,5,2,1,1,0,0,17,2,0,0,0.214,0.225,0.214,0.44
피터스,22롯,6,98,86,11,18,3,0,2,27,9,0,2,10,2,0,22,1,0,0,0.209,0.306,0.314,0.62
오윤석,22K,6,66,53,4,11,1,0,2,18,11,0,0,9,1,0,8,2,2,1,0.208,0.328,0.34,0.668
김수환,22키,6,83,68,9,14,1,0,3,24,5,0,0,12,2,0,27,0,1,0,0.206,0.342,0.353,0.694
황대인,22기,6,96,88,6,18,4,0,1,25,9,0,0,8,0,0,16,2,0,0,0.205,0.271,0.284,0.555
강승호,22두,6,95,89,8,18,1,0,1,22,13,1,1,4,0,0,21,2,0,2,0.202,0.232,0.247,0.479
정수빈,22두,6,62,55,11,11,1,1,0,14,5,2,1,7,0,0,3,0,0,0,0.2,0.29,0.255,0.545
김준완,22키,6,113,87,13,17,3,1,0,22,7,0,0,20,3,0,16,1,2,1,0.195,0.36,0.253,0.613
한유섬,22S,6,89,80,8,15,3,0,4,30,18,1,0,6,2,0,33,1,0,1,0.188,0.258,0.375,0.633
김주원,22N,6,59,50,6,9,1,1,2,18,4,1,0,5,1,0,22,1,3,0,0.18,0.268,0.36,0.628
이진영,22한,6,82,73,8,13,2,1,1,20,10,0,1,7,0,0,28,1,0,2,0.178,0.244,0.274,0.518
류지혁,22기,6,79,65,6,11,2,0,0,13,4,1,0,12,0,0,15,3,1,1,0.169,0.295,0.2,0.495
이명기,22N,6,63,56,3,8,1,1,0,11,2,1,1,5,0,0,14,0,1,1,0.143,0.21,0.196,0.406
이창진,22기,7,67,63,15,30,5,0,0,35,9,2,0,2,0,0,11,0,2,0,0.476,0.492,0.556,1.048
박건우,22N,7,49,45,5,19,0,0,2,25,7,0,0,4,0,1,6,1,0,0,0.422,0.469,0.556,1.025
노진혁,22N,7,61,53,8,22,7,0,0,29,12,1,0,7,0,1,11,1,0,1,0.415,0.475,0.547,1.023
하주석,22한,7,72,68,10,28,3,2,1,38,12,1,1,3,0,0,14,0,1,0,0.412,0.437,0.559,0.995
나성범,22기,7,83,70,15,27,6,1,4,47,20,0,0,6,5,2,15,1,0,2,0.386,0.458,0.671,1.129
박민우,22N,7,76,63,13,24,4,0,2,34,15,7,1,7,3,0,11,1,2,1,0.381,0.46,0.54,0.999
채은성,22L,7,69,62,10,23,6,0,5,44,16,0,0,5,2,2,13,0,0,0,0.371,0.435,0.71,1.145
조용호,22K,7,62,54,11,20,2,0,0,22,7,0,0,6,1,0,10,0,0,1,0.37,0.436,0.407,0.843
문성주,22L,7,90,73,16,27,2,1,2,37,14,2,1,14,0,0,4,2,3,0,0.37,0.471,0.507,0.978
피렐라,22삼,7,90,84,21,31,5,0,6,54,17,1,1,4,2,1,17,1,0,0,0.369,0.411,0.643,1.054
김재성,22삼,7,51,44,5,16,4,0,0,20,9,0,0,6,1,0,16,0,0,0,0.364,0.451,0.455,0.906
페르난데스,22두,7,81,75,8,27,2,0,0,29,10,0,0,5,0,0,7,4,0,1,0.36,0.395,0.387,0.782
박성한,22S,7,81,69,7,24,5,1,0,31,16,4,2,9,0,1,10,1,3,0,0.348,0.423,0.449,0.872
박세혁,22두,7,55,49,6,17,2,0,2,25,8,1,0,3,2,0,11,1,1,0,0.347,0.407,0.51,0.918
한동희,22롯,7,87,81,4,28,4,0,2,38,12,0,0,5,0,1,8,2,0,1,0.346,0.379,0.469,0.848
김혜성,22키,7,85,81,16,27,5,1,1,37,8,2,1,3,0,0,11,1,0,1,0.333,0.353,0.457,0.81
전준우,22롯,7,85,77,12,25,8,0,3,42,17,1,0,5,0,0,14,4,0,3,0.325,0.353,0.545,0.898
알포드,22K,7,76,63,13,20,3,1,3,34,14,2,0,12,0,0,18,0,0,1,0.317,0.421,0.54,0.961
푸이그,22키,7,57,51,4,16,2,0,2,24,7,0,0,5,1,0,12,1,0,0,0.314,0.386,0.471,0.857
김인환,22한,7,84,77,13,24,1,0,6,43,13,0,0,4,2,2,16,0,0,1,0.312,0.357,0.558,0.916
박해민,22L,7,93,84,16,26,4,1,0,32,7,2,0,6,2,0,13,1,0,1,0.31,0.366,0.381,0.747
마티니,22N,7,78,65,9,20,2,0,2,28,12,4,1,6,4,1,8,0,0,3,0.308,0.385,0.431,0.815
오선진,22삼,7,72,62,9,19,2,0,0,21,2,0,0,4,2,0,9,3,4,0,0.306,0.368,0.339,0.706
오재일,22삼,7,69,62,9,19,8,0,2,33,17,0,1,5,0,1,20,0,0,2,0.306,0.348,0.532,0.88
박찬호,22기,7,79,69,18,21,3,0,1,27,3,6,0,8,0,0,8,1,2,0,0.304,0.377,0.391,0.768
김현준,22삼,7,95,87,9,26,3,0,0,29,2,1,0,8,0,0,20,1,0,0,0.299,0.358,0.333,0.691
황대인,22기,7,73,61,8,18,6,0,1,27,17,0,0,11,0,0,10,3,0,1,0.295,0.397,0.443,0.84
박병호,22K,7,73,61,13,18,1,0,4,31,15,2,0,7,3,0,18,1,0,2,0.295,0.384,0.508,0.892
황성빈,22롯,7,77,72,15,21,6,1,1,32,5,1,1,2,1,0,12,1,1,1,0.292,0.316,0.444,0.76
이정후,22키,7,80,69,6,20,5,2,2,35,13,0,0,7,3,1,7,1,0,1,0.29,0.375,0.507,0.882
오지환,22L,7,79,66,13,19,1,1,6,40,18,3,0,12,0,0,20,3,0,1,0.288,0.392,0.606,0.999
허경민,22두,7,69,63,11,18,2,0,2,26,8,3,0,6,0,2,4,1,0,0,0.286,0.348,0.413,0.761
이지영,22키,7,58,53,4,15,1,0,0,16,4,0,0,3,1,0,6,3,1,0,0.283,0.333,0.302,0.635
정훈,22롯,7,76,69,6,19,2,0,0,21,10,0,0,4,0,0,13,3,1,2,0.275,0.307,0.304,0.611
김태연,22한,7,78,67,9,18,1,0,4,31,10,1,0,9,1,0,15,1,1,0,0.269,0.364,0.463,0.826
최지훈,22S,7,86,75,14,20,5,1,1,30,7,6,0,6,1,0,12,1,4,0,0.267,0.329,0.4,0.729
배정대,22K,7,75,68,8,18,3,2,1,28,9,3,0,6,0,0,16,2,1,0,0.265,0.324,0.412,0.736
전의산,22S,7,65,57,11,15,2,0,5,32,9,0,0,8,0,1,22,2,0,0,0.263,0.354,0.561,0.915
최형우,22기,7,62,57,7,15,1,1,1,21,10,0,0,5,0,0,14,0,0,0,0.263,0.323,0.368,0.691
이명기,22N,7,63,54,12,14,2,0,0,16,2,3,0,8,1,0,14,0,0,0,0.259,0.365,0.296,0.661
김휘집,22키,7,71,58,5,15,2,1,1,22,9,0,0,8,5,0,19,1,0,0,0.259,0.394,0.379,0.774
김선빈,22기,7,72,62,4,16,1,0,0,17,7,1,0,9,0,0,11,1,1,0,0.258,0.352,0.274,0.626
문보경,22L,7,79,70,12,18,2,2,3,33,11,1,0,7,0,0,11,5,1,1,0.257,0.321,0.471,0.792
이대호,22롯,7,88,82,8,21,4,0,4,37,13,0,0,6,0,1,11,4,0,0,0.256,0.307,0.451,0.758
황재균,22K,7,72,67,2,17,4,0,0,21,9,0,1,4,1,1,10,2,0,0,0.254,0.306,0.313,0.619
김성현,22S,7,66,56,9,14,1,0,1,18,8,1,0,7,0,0,9,0,2,1,0.25,0.328,0.321,0.65
류지혁,22기,7,51,44,5,11,1,1,0,14,6,1,0,5,2,0,12,0,0,0,0.25,0.353,0.318,0.671
김호령,22기,7,56,49,10,12,0,1,0,14,4,1,0,6,0,0,14,3,1,0,0.245,0.327,0.286,0.613
이재현,22삼,7,52,49,3,12,0,0,1,15,4,0,0,3,0,0,5,2,0,0,0.245,0.289,0.306,0.595
양석환,22두,7,84,82,7,20,4,0,3,33,10,0,0,2,0,0,24,0,0,0,0.244,0.262,0.402,0.664
추신수,22S,7,88,70,14,17,4,1,6,41,13,2,0,14,2,0,17,1,1,1,0.243,0.379,0.586,0.965
강민호,22삼,7,62,54,4,13,2,0,2,21,9,0,0,8,0,0,10,1,0,0,0.241,0.339,0.389,0.728
안치홍,22롯,7,90,75,11,18,4,0,0,22,5,3,0,12,1,1,12,0,1,1,0.24,0.348,0.293,0.642
김재호,22두,7,54,46,9,11,1,0,0,12,6,0,0,5,0,0,8,1,2,1,0.239,0.308,0.261,0.569
양의지,22N,7,78,63,7,15,3,0,1,21,11,0,0,10,2,0,8,5,0,3,0.238,0.346,0.333,0.68
김현수,22L,7,74,63,10,15,2,0,5,32,17,0,0,10,0,2,6,0,0,0,0.238,0.343,0.508,0.85
유강남,22L,7,72,63,9,15,3,0,3,27,8,0,0,3,5,0,16,1,1,0,0.238,0.324,0.429,0.753
송성문,22키,7,78,68,8,16,3,0,1,22,7,0,1,10,0,1,4,0,0,0,0.235,0.333,0.324,0.657
김재환,22두,7,72,64,10,15,4,0,4,31,12,1,0,7,1,1,19,0,0,0,0.234,0.319,0.484,0.804
정은원,22한,7,87,74,12,17,2,0,1,22,4,1,2,12,1,0,18,1,0,0,0.23,0.345,0.297,0.642
권희동,22N,7,78,63,13,14,3,0,2,23,7,1,0,8,5,0,13,1,1,1,0.222,0.351,0.365,0.716
장성우,22K,7,65,54,7,12,0,0,3,21,9,0,0,8,0,0,13,0,1,2,0.222,0.313,0.389,0.701
이용규,22키,7,70,55,6,12,1,0,0,13,3,2,0,14,1,0,12,3,0,0,0.218,0.386,0.236,0.622
최재훈,22한,7,53,46,1,10,1,0,0,11,3,0,0,3,2,0,6,5,2,0,0.217,0.294,0.239,0.533
이원석,22삼,7,65,60,3,13,3,0,1,19,8,0,0,3,1,0,18,1,0,1,0.217,0.262,0.317,0.578
터크먼,22한,7,94,81,11,17,5,0,4,34,12,0,1,12,1,0,17,1,0,0,0.21,0.319,0.42,0.739
김준완,22키,7,80,62,7,13,0,1,1,18,7,0,1,12,3,0,18,0,2,1,0.21,0.359,0.29,0.649
이진영,22한,7,52,48,2,10,3,0,1,16,2,0,0,4,0,0,21,1,0,0,0.208,0.269,0.333,0.603
최정,22S,7,68,54,11,11,3,0,3,23,8,5,2,11,3,0,14,0,0,0,0.204,0.368,0.426,0.794
한유섬,22S,7,72,56,6,11,3,0,2,20,12,0,0,14,1,0,19,1,0,1,0.196,0.361,0.357,0.718
손아섭,22N,7,61,53,7,10,1,0,0,11,1,1,0,6,1,0,9,2,1,0,0.189,0.283,0.208,0.491
이재원,22L,7,65,60,8,11,1,0,3,21,7,0,0,3,2,0,21,1,0,0,0.183,0.246,0.35,0.596
이재원,22S,7,51,41,4,7,1,0,1,11,5,0,0,7,1,0,4,1,2,0,0.171,0.306,0.268,0.574
고승민,22롯,8,56,49,4,20,4,1,0,26,8,0,0,6,0,0,9,0,0,1,0.408,0.464,0.531,0.995
양의지,22N,8,80,67,15,27,6,0,6,51,22,0,1,9,3,1,6,1,0,1,0.403,0.488,0.761,1.249
김민혁,22K,8,63,54,8,21,4,1,0,27,3,0,4,6,0,0,10,2,3,0,0.389,0.45,0.5,0.95
문보경,22L,8,71,59,11,22,4,1,1,31,8,2,0,7,0,1,6,0,3,2,0.373,0.427,0.525,0.952
김혜성,22키,8,104,97,12,36,5,1,1,46,8,4,1,7,0,1,15,2,0,0,0.371,0.414,0.474,0.888
김선빈,22기,8,89,81,6,30,6,0,0,36,17,3,0,6,0,0,2,2,1,1,0.37,0.409,0.444,0.854
피렐라,22삼,8,96,80,15,29,3,0,5,47,22,4,0,11,3,2,12,2,0,2,0.363,0.448,0.588,1.035
최지훈,22S,8,104,98,16,35,4,0,3,48,11,1,3,5,0,0,8,2,0,1,0.357,0.385,0.49,0.874
강한울,22삼,8,64,59,8,21,3,0,0,24,7,1,0,4,0,0,8,0,1,0,0.356,0.397,0.407,0.804
푸이그,22키,8,108,88,16,31,10,0,6,59,20,0,2,15,3,0,17,1,0,2,0.352,0.454,0.67,1.124
채은성,22L,8,85,74,8,26,5,0,0,31,17,0,2,2,6,0,14,4,0,3,0.351,0.4,0.419,0.819
최형우,22기,8,86,76,11,26,4,0,4,42,16,0,0,9,0,0,16,0,0,1,0.342,0.407,0.553,0.96
이정후,22키,8,106,100,17,34,6,2,3,53,19,0,0,6,0,0,5,1,0,0,0.34,0.377,0.53,0.907
박찬호,22기,8,102,84,16,28,3,0,2,37,10,10,1,15,1,0,14,0,2,0,0.333,0.44,0.44,0.881
박해민,22L,8,88,84,17,28,4,2,0,36,4,5,1,3,0,0,12,0,1,0,0.333,0.356,0.429,0.785
유강남,22L,8,62,57,2,19,2,0,1,24,7,0,0,1,1,0,16,1,3,0,0.333,0.356,0.421,0.777
이대호,22롯,8,98,88,9,29,4,0,4,45,22,0,0,9,1,2,8,4,0,0,0.33,0.398,0.511,0.909
박건우,22N,8,91,82,12,27,7,0,3,43,14,1,0,6,3,0,13,1,0,0,0.329,0.396,0.524,0.92
나성범,22기,8,100,93,15,30,7,0,3,46,15,2,1,7,0,2,23,1,0,0,0.323,0.37,0.495,0.865
노수광,22한,8,61,51,8,16,7,0,1,26,8,2,1,5,0,0,14,0,4,1,0.314,0.368,0.51,0.878
최주환,22S,8,57,51,7,16,7,0,0,23,7,0,0,5,1,0,9,0,0,0,0.314,0.386,0.451,0.837
최정,22S,8,97,83,12,26,9,0,6,53,23,1,1,10,2,1,18,1,0,2,0.313,0.392,0.639,1.03
강승호,22두,8,65,55,8,17,5,0,3,31,9,3,2,8,2,0,12,0,0,0,0.309,0.415,0.564,0.979
허경민,22두,8,87,75,7,23,2,0,2,31,9,0,2,5,6,1,7,2,0,1,0.307,0.391,0.413,0.804
문성주,22L,8,68,62,11,19,2,0,1,24,7,1,0,6,0,0,9,2,0,0,0.306,0.368,0.387,0.755
배정대,22K,8,98,85,20,26,4,0,2,36,15,3,1,11,0,0,20,0,0,2,0.306,0.378,0.424,0.801
한유섬,22S,8,85,69,7,21,6,0,3,36,9,0,1,13,3,0,23,2,0,0,0.304,0.435,0.522,0.957
조용호,22K,8,100,90,8,27,1,0,1,31,10,2,0,9,0,0,13,2,0,1,0.3,0.36,0.344,0.704
노시환,22한,8,92,80,8,24,3,0,1,30,12,2,0,10,1,0,17,3,0,1,0.3,0.38,0.375,0.755
라가레스,22S,8,74,70,11,21,6,0,4,39,13,0,0,4,0,0,7,1,0,0,0.3,0.338,0.557,0.895
정훈,22롯,8,86,77,14,23,6,0,1,32,5,2,0,4,2,0,20,0,2,1,0.299,0.345,0.416,0.761
김태연,22한,8,65,54,7,16,4,0,1,23,8,0,0,9,1,0,13,1,0,1,0.296,0.4,0.426,0.826
이지영,22키,8,72,71,7,21,3,1,1,29,5,0,1,1,0,0,5,6,0,0,0.296,0.306,0.408,0.714
소크라테스,22기,8,98,88,18,26,4,1,2,38,14,3,1,7,0,0,11,2,0,3,0.295,0.337,0.432,0.769
이원석,22삼,8,73,61,9,18,1,0,4,31,18,0,0,10,2,0,15,0,0,0,0.295,0.411,0.508,0.919
김지찬,22삼,8,81,65,11,19,0,1,0,21,6,2,3,9,1,0,17,0,5,1,0.292,0.382,0.323,0.705
오지환,22L,8,79,65,12,19,2,1,3,32,13,4,3,12,1,0,12,1,0,1,0.292,0.405,0.492,0.897
노진혁,22N,8,79,65,10,19,5,0,2,30,15,1,0,9,2,1,17,0,0,3,0.292,0.38,0.462,0.841
김준태,22K,8,57,48,4,14,4,0,0,18,6,0,0,8,0,1,14,1,1,0,0.292,0.393,0.375,0.768
추신수,22S,8,80,70,12,20,3,0,2,29,10,4,2,7,0,0,18,1,1,2,0.286,0.342,0.414,0.756
김상수,22삼,8,72,64,12,18,3,0,0,21,4,1,1,3,1,0,16,1,3,1,0.281,0.319,0.328,0.647
렉스,22롯,8,102,89,11,25,2,0,3,36,8,3,0,9,3,1,19,3,0,1,0.281,0.363,0.404,0.767
황재균,22K,8,93,82,15,23,3,1,2,34,11,0,0,9,2,0,18,3,0,0,0.28,0.366,0.415,0.78
박병호,22K,8,86,72,11,20,2,0,2,28,11,0,3,11,2,2,19,1,0,1,0.278,0.384,0.389,0.773
전준우,22롯,8,87,76,10,21,3,0,1,27,6,1,0,10,1,0,13,2,0,0,0.276,0.368,0.355,0.723
박민우,22N,8,81,63,16,17,2,0,0,19,5,4,0,14,2,2,11,1,2,0,0.27,0.418,0.302,0.719
